Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.39,-.54,-.24,-.31,-.06,-.19,-.23,-.28,-.26,-.32,-.46,-.43,-.31,***,***,-.20,-.23,-.35
1881,-.32,-.26,-.07,-.04,.02,-.35,.08,-.07,-.29,-.45,-.38,-.25,-.20,-.21,-.34,-.03,-.11,-.38
1882,.24,.20,.01,-.31,-.24,-.30,-.29,-.17,-.26,-.53,-.35,-.70,-.23,-.19,.06,-.18,-.25,-.38
1883,-.59,-.67,-.16,-.30,-.26,-.12,-.07,-.24,-.35,-.17,-.45,-.16,-.29,-.34,-.65,-.24,-.14,-.32
1884,-.17,-.11,-.64,-.60,-.36,-.42,-.41,-.52,-.45,-.45,-.58,-.48,-.43,-.41,-.15,-.53,-.45,-.50
1885,-1.02,-.46,-.24,-.50,-.59,-.46,-.35,-.42,-.40,-.37,-.38,-.12,-.44,-.47,-.65,-.44,-.41,-.39
1886,-.75,-.84,-.71,-.37,-.34,-.38,-.15,-.44,-.34,-.32,-.41,-.22,-.44,-.43,-.57,-.47,-.32,-.36
1887,-1.09,-.71,-.45,-.39,-.27,-.22,-.26,-.56,-.22,-.50,-.28,-.44,-.45,-.43,-.67,-.37,-.35,-.33
1888,-.49,-.62,-.64,-.23,-.16,-.04,-.01,-.22,-.20,-.04,-.02,-.24,-.24,-.26,-.52,-.34,-.09,-.09
1889,-.29,.28,-.03,.15,-.05,-.08,-.08,-.22,-.31,-.42,-.62,-.55,-.18,-.16,-.08,.03,-.13,-.45
1890,-.65,-.58,-.48,-.26,-.37,-.17,-.25,-.40,-.36,-.11,-.64,-.48,-.40,-.40,-.59,-.37,-.27,-.37
1891,-.47,-.67,-.16,-.36,-.16,-.14,-.13,-.13,-.09,-.28,-.53,-.02,-.26,-.30,-.54,-.23,-.13,-.30
1892,-.51,-.19,-.67,-.46,-.24,-.06,-.39,-.34,-.22,-.28,-.83,-.68,-.40,-.35,-.24,-.45,-.26,-.44
1893,-1.52,-.97,-.33,-.31,-.44,-.19,-.15,-.35,-.30,-.29,-.34,-.62,-.48,-.49,-1.05,-.36,-.23,-.31
1894,-.93,-.43,-.22,-.55,-.27,-.42,-.21,-.27,-.33,-.28,-.49,-.37,-.40,-.42,-.66,-.34,-.30,-.37
1895,-.71,-.81,-.50,-.20,-.31,-.21,-.20,-.28,-.07,-.10,-.14,-.24,-.32,-.33,-.63,-.34,-.23,-.10
1896,-.37,-.19,-.50,-.61,-.17,.07,-.01,-.12,-.13,.04,-.21,-.22,-.20,-.20,-.27,-.43,-.02,-.10
1897,-.41,-.42,-.40,-.06,.12,-.07,.03,-.07,-.07,-.16,-.26,-.30,-.17,-.17,-.35,-.11,-.04,-.16
1898,.03,-.45,-.80,-.29,-.29,-.10,-.13,-.19,-.19,-.37,-.51,-.28,-.30,-.30,-.24,-.46,-.14,-.36
1899,-.14,-.65,-.60,-.23,-.25,-.36,-.18,-.07,-.05,.04,.35,-.48,-.22,-.20,-.36,-.36,-.20,.11
1900,-.63,-.15,.04,-.11,-.05,-.11,-.13,-.10,-.04,.22,-.13,-.04,-.10,-.14,-.42,-.04,-.11,.01
1901,-.35,-.11,.26,.10,-.12,.00,.00,-.17,-.29,-.33,-.21,-.41,-.14,-.10,-.17,.08,-.06,-.27
1902,-.14,-.04,-.39,-.38,-.41,-.42,-.34,-.30,-.34,-.33,-.48,-.62,-.35,-.33,-.20,-.40,-.35,-.38
1903,-.24,.10,-.18,-.47,-.44,-.47,-.44,-.57,-.50,-.47,-.42,-.58,-.39,-.39,-.25,-.36,-.49,-.46
1904,-.78,-.62,-.47,-.51,-.45,-.49,-.60,-.55,-.64,-.40,-.10,-.36,-.50,-.52,-.66,-.48,-.55,-.38
1905,-.43,-.83,-.24,-.47,-.30,-.29,-.23,-.24,-.20,-.28,.08,-.18,-.30,-.32,-.54,-.33,-.25,-.13
1906,-.56,-.51,-.19,.04,-.25,-.11,-.27,-.16,-.25,-.18,-.40,.04,-.23,-.25,-.41,-.13,-.18,-.27
1907,-.58,-.70,-.29,-.44,-.59,-.52,-.42,-.39,-.41,-.20,-.56,-.59,-.47,-.42,-.41,-.44,-.44,-.39
1908,-.55,-.28,-.72,-.48,-.29,-.31,-.37,-.58,-.32,-.46,-.64,-.56,-.46,-.46,-.47,-.50,-.42,-.47
1909,-.96,-.46,-.68,-.66,-.50,-.53,-.46,-.37,-.39,-.36,-.13,-.58,-.51,-.50,-.66,-.61,-.45,-.29
1910,-.37,-.39,-.50,-.42,-.32,-.46,-.40,-.41,-.44,-.32,-.62,-.82,-.45,-.43,-.45,-.41,-.42,-.46
1911,-.71,-.59,-.63,-.46,-.46,-.35,-.39,-.44,-.39,-.20,-.20,-.31,-.43,-.47,-.71,-.52,-.39,-.26
1912,-.36,-.17,-.61,-.17,-.14,-.14,-.53,-.78,-.81,-.86,-.52,-.58,-.47,-.45,-.28,-.30,-.48,-.73
1913,-.58,-.65,-.48,-.51,-.56,-.50,-.53,-.48,-.43,-.40,-.15,.10,-.43,-.49,-.60,-.51,-.50,-.33
1914,.16,-.11,-.36,-.39,-.19,-.24,-.35,-.29,-.30,-.01,-.23,-.07,-.20,-.18,.05,-.32,-.29,-.18
1915,-.28,-.10,-.25,.07,-.01,-.13,-.10,-.17,-.21,-.27,-.04,-.25,-.15,-.13,-.15,-.06,-.13,-.18
1916,-.11,-.17,-.39,-.35,-.38,-.51,-.35,-.38,-.49,-.36,-.47,-1.14,-.43,-.35,-.18,-.38,-.41,-.44
1917,-.53,-.69,-.75,-.64,-.74,-.50,-.33,-.41,-.32,-.64,-.33,-1.07,-.58,-.58,-.78,-.71,-.41,-.43
1918,-.71,-.47,-.26,-.60,-.50,-.46,-.35,-.38,-.26,-.06,-.23,-.57,-.40,-.45,-.75,-.45,-.40,-.18
1919,-.39,-.40,-.38,-.25,-.43,-.40,-.34,-.31,-.20,-.10,-.48,-.57,-.35,-.35,-.45,-.35,-.35,-.26
1920,-.16,-.30,.00,-.21,-.22,-.26,-.26,-.32,-.36,-.40,-.46,-.72,-.31,-.29,-.34,-.14,-.28,-.41
1921,.17,-.09,-.12,-.17,-.25,-.15,-.04,-.30,-.19,-.01,-.12,-.14,-.12,-.17,-.22,-.18,-.16,-.10
1922,-.40,-.64,-.11,-.17,-.19,-.16,-.28,-.37,-.43,-.31,-.13,-.17,-.28,-.28,-.39,-.15,-.27,-.29
1923,-.17,-.47,-.40,-.54,-.40,-.25,-.30,-.30,-.18,.06,.16,.11,-.22,-.25,-.27,-.44,-.28,.01
1924,-.27,-.20,.02,-.26,-.07,-.20,-.23,-.28,-.23,-.24,.11,-.37,-.19,-.15,-.12,-.10,-.24,-.12
1925,-.27,-.36,-.22,-.16,-.22,-.27,-.27,-.21,-.06,-.10,.23,.23,-.14,-.19,-.34,-.20,-.25,.02
1926,.54,.19,.38,-.13,-.22,-.21,-.20,-.07,-.03,.06,.16,-.30,.01,.06,.32,.01,-.16,.06
1927,-.29,-.08,-.47,-.27,-.14,-.14,-.09,-.17,.02,.25,.11,-.37,-.14,-.13,-.22,-.29,-.13,.13
1928,.25,.07,-.23,-.31,-.17,-.32,-.11,-.19,-.15,-.09,.03,-.04,-.11,-.13,-.02,-.24,-.21,-.07
